Number of Workers,ThreadPoolExecutor Time,ProcessPoolExecutor Time
1,0.006487846374511719,0.6857380867004395
2,0.0339047908782959,0.012666940689086914
3,0.016550302505493164,0.009910345077514648
4,0.008514881134033203,0.007970333099365234
5,0.008620262145996094,0.009193658828735352
6,0.014063835144042969,0.014098882675170898
7,0.014667510986328125,0.010823726654052734
8,0.00878286361694336,0.008646249771118164
9,0.008637428283691406,0.008759021759033203
10,0.008910179138183594,0.008939266204833984
11,0.008636236190795898,0.008931398391723633
12,0.009150028228759766,0.009424924850463867
13,0.009388208389282227,0.009441375732421875
14,0.009348392486572266,0.009453058242797852
15,0.009377717971801758,0.009276390075683594
16,0.00939798355102539,0.009654521942138672
